field,value,measurement,timestamp,entity_id,domain
value,1556.0,W,2025-11-16 20:15:18.993222+00:00,ams_linje6_p,sensor
value,1570.0,W,2025-11-16 20:15:19.132715+00:00,ams_linje6_p,sensor
value,1585.0,W,2025-11-16 20:15:26.593953+00:00,ams_linje6_p,sensor
value,1594.0,W,2025-11-16 20:15:32.670422+00:00,ams_linje6_p,sensor
value,1591.0,W,2025-11-16 20:15:34.106020+00:00,ams_linje6_p,sensor
value,1592.0,W,2025-11-16 20:15:36.619985+00:00,ams_linje6_p,sensor
value,1591.0,W,2025-11-16 20:15:39.113207+00:00,ams_linje6_p,sensor
value,22.0,W,2025-11-16 20:15:44.783626+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,1587.0,W,2025-11-16 20:15:48.955567+00:00,ams_linje6_p,sensor
value,1583.0,W,2025-11-16 20:15:49.118160+00:00,ams_linje6_p,sensor
value,1590.0,W,2025-11-16 20:15:52.615168+00:00,ams_linje6_p,sensor
value,1592.0,W,2025-11-16 20:15:54.108909+00:00,ams_linje6_p,sensor
value,1607.0,W,2025-11-16 20:15:56.610194+00:00,ams_linje6_p,sensor
value,1613.0,W,2025-11-16 20:16:00.745625+00:00,ams_linje6_p,sensor
value,1627.0,W,2025-11-16 20:16:02.622777+00:00,ams_linje6_p,sensor
value,1633.0,W,2025-11-16 20:16:04.087198+00:00,ams_linje6_p,sensor
value,1652.0,W,2025-11-16 20:16:06.592038+00:00,ams_linje6_p,sensor
value,79.0,W,2025-11-16 20:16:17.777282+00:00,05_kjokkenlys15a_active_power,sensor
value,1670.0,W,2025-11-16 20:16:19.130932+00:00,ams_linje6_p,sensor
value,1688.0,W,2025-11-16 20:16:19.172640+00:00,ams_linje6_p,sensor
value,1695.0,W,2025-11-16 20:16:19.220860+00:00,ams_linje6_p,sensor
value,1711.0,W,2025-11-16 20:16:24.141443+00:00,ams_linje6_p,sensor
value,1726.0,W,2025-11-16 20:16:26.591308+00:00,ams_linje6_p,sensor
value,1731.0,W,2025-11-16 20:16:29.135990+00:00,ams_linje6_p,sensor
value,1735.0,W,2025-11-16 20:16:33.972519+00:00,ams_linje6_p,sensor
value,1746.0,W,2025-11-16 20:16:34.095607+00:00,ams_linje6_p,sensor
value,1747.0,W,2025-11-16 20:16:36.605207+00:00,ams_linje6_p,sensor
value,1757.0,W,2025-11-16 20:16:39.102506+00:00,ams_linje6_p,sensor
value,80.0,W,2025-11-16 20:16:47.824361+00:00,05_kjokkenlys15a_active_power,sensor
value,1781.0,W,2025-11-16 20:16:49.384844+00:00,ams_linje6_p,sensor
value,1789.0,W,2025-11-16 20:16:49.467298+00:00,ams_linje6_p,sensor
value,1803.0,W,2025-11-16 20:16:52.654571+00:00,ams_linje6_p,sensor
value,1819.0,W,2025-11-16 20:16:54.142203+00:00,ams_linje6_p,sensor
value,1829.0,W,2025-11-16 20:16:56.583210+00:00,ams_linje6_p,sensor
value,1848.0,W,2025-11-16 20:17:02.806459+00:00,ams_linje6_p,sensor
value,2015.0,W,2025-11-16 20:17:04.096898+00:00,ams_linje6_p,sensor
value,2041.0,W,2025-11-16 20:17:09.120205+00:00,ams_linje6_p,sensor
value,128.0,W,2025-11-16 20:17:13.566689+00:00,10badgammel13a_active_power,sensor
value,2084.0,W,2025-11-16 20:17:19.221511+00:00,ams_linje6_p,sensor
value,2104.0,W,2025-11-16 20:17:19.266383+00:00,ams_linje6_p,sensor
value,2127.0,W,2025-11-16 20:17:19.301183+00:00,ams_linje6_p,sensor
value,2167.0,W,2025-11-16 20:17:22.623654+00:00,ams_linje6_p,sensor
value,2204.0,W,2025-11-16 20:17:26.624012+00:00,ams_linje6_p,sensor
value,2287.0,W,2025-11-16 20:17:29.105911+00:00,ams_linje6_p,sensor
value,2430.0,W,2025-11-16 20:17:33.729615+00:00,ams_linje6_p,sensor
value,2508.0,W,2025-11-16 20:17:36.608605+00:00,ams_linje6_p,sensor
value,2492.0,W,2025-11-16 20:17:39.107219+00:00,ams_linje6_p,sensor
value,127.0,W,2025-11-16 20:17:43.578318+00:00,10badgammel13a_active_power,sensor
value,21.0,W,2025-11-16 20:17:44.795309+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,2462.0,W,2025-11-16 20:17:48.889782+00:00,ams_linje6_p,sensor
value,2479.0,W,2025-11-16 20:17:48.934119+00:00,ams_linje6_p,sensor
value,2506.0,W,2025-11-16 20:17:49.125789+00:00,ams_linje6_p,sensor
value,2572.0,W,2025-11-16 20:17:52.620213+00:00,ams_linje6_p,sensor
value,2690.0,W,2025-11-16 20:17:56.585650+00:00,ams_linje6_p,sensor
value,2733.0,W,2025-11-16 20:18:02.637856+00:00,ams_linje6_p,sensor
value,2780.0,W,2025-11-16 20:18:04.754768+00:00,ams_linje6_p,sensor
value,2839.0,W,2025-11-16 20:18:06.594075+00:00,ams_linje6_p,sensor
value,2902.0,W,2025-11-16 20:18:12.641081+00:00,ams_linje6_p,sensor
value,22.0,W,2025-11-16 20:18:14.939678+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,72.0,W,2025-11-16 20:18:18.638005+00:00,06_kjeller15a_active_power,sensor
value,2932.0,W,2025-11-16 20:18:35.068280+00:00,ams_linje6_p,sensor
value,2963.0,W,2025-11-16 20:18:35.141685+00:00,ams_linje6_p,sensor
value,2983.0,W,2025-11-16 20:18:35.232259+00:00,ams_linje6_p,sensor
value,3025.0,W,2025-11-16 20:18:35.380372+00:00,ams_linje6_p,sensor
value,3053.0,W,2025-11-16 20:18:35.424711+00:00,ams_linje6_p,sensor
value,3052.0,W,2025-11-16 20:18:35.774846+00:00,ams_linje6_p,sensor
value,3114.0,W,2025-11-16 20:18:36.609196+00:00,ams_linje6_p,sensor
value,3121.0,W,2025-11-16 20:18:42.626917+00:00,ams_linje6_p,sensor
value,21.0,W,2025-11-16 20:18:44.988547+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,3145.0,W,2025-11-16 20:18:49.267325+00:00,ams_linje6_p,sensor
value,3174.0,W,2025-11-16 20:18:49.310760+00:00,ams_linje6_p,sensor
value,3191.0,W,2025-11-16 20:18:52.648950+00:00,ams_linje6_p,sensor
value,3229.0,W,2025-11-16 20:18:56.601904+00:00,ams_linje6_p,sensor
value,3232.0,W,2025-11-16 20:19:02.628428+00:00,ams_linje6_p,sensor
value,3262.0,W,2025-11-16 20:19:04.119299+00:00,ams_linje6_p,sensor
value,2602.0,W,2025-11-16 20:19:06.787265+00:00,ams_linje6_p,sensor
value,2459.0,W,2025-11-16 20:19:09.138262+00:00,ams_linje6_p,sensor
value,2964.0,W,2025-11-16 20:19:19.067505+00:00,ams_linje6_p,sensor
value,3175.0,W,2025-11-16 20:19:19.114881+00:00,ams_linje6_p,sensor
value,3282.0,W,2025-11-16 20:19:19.172497+00:00,ams_linje6_p,sensor
value,3414.0,W,2025-11-16 20:19:22.639545+00:00,ams_linje6_p,sensor
value,3543.0,W,2025-11-16 20:19:24.110465+00:00,ams_linje6_p,sensor
value,3620.0,W,2025-11-16 20:19:26.600011+00:00,ams_linje6_p,sensor
value,3659.0,W,2025-11-16 20:19:29.113440+00:00,ams_linje6_p,sensor
value,3669.0,W,2025-11-16 20:19:34.108678+00:00,ams_linje6_p,sensor
value,3656.0,W,2025-11-16 20:19:37.812413+00:00,ams_linje6_p,sensor
value,3701.0,W,2025-11-16 20:19:42.629905+00:00,ams_linje6_p,sensor
value,126.0,W,2025-11-16 20:19:43.637482+00:00,10badgammel13a_active_power,sensor
value,3754.0,W,2025-11-16 20:19:49.067197+00:00,ams_linje6_p,sensor
value,3825.0,W,2025-11-16 20:19:49.103715+00:00,ams_linje6_p,sensor
value,3904.0,W,2025-11-16 20:19:52.631701+00:00,ams_linje6_p,sensor
value,4054.0,W,2025-11-16 20:19:56.585292+00:00,ams_linje6_p,sensor
value,4162.0,W,2025-11-16 20:19:59.096356+00:00,ams_linje6_p,sensor
value,4195.0,W,2025-11-16 20:20:02.742597+00:00,ams_linje6_p,sensor
value,4330.0,W,2025-11-16 20:20:06.606750+00:00,ams_linje6_p,sensor
value,127.0,W,2025-11-16 20:20:13.606823+00:00,10badgammel13a_active_power,sensor
