fuse,mae,rmse,points
07_lysstikk1floor16a_active_power,0.0,0.0,43211
04_fyrkjelevarmepump_active_power,0.0,0.0,43211
09_internet16a_active_power,0.695994360685013,2.680537615748232,43211
u10_bad2nd16a_active_power,0.4989129839944765,2.6834590321048535,43211
u9_lysstikk16a_active_power,0.7226888520211282,2.806041696695969,43211
10badgammel13a_active_power,2.7985072771818666,5.599607070917136,43211
08_lysstikk2ndfloor1_active_power,2.733521616178514,5.931434334075435,43211
03a_kjokken_3p_230vl_active_power,11.868781885059034,96.10015298914556,43211
u8_kitchenlight16a_active_power,18.079510838207803,98.71269873510984,43211
ams_linje6_po,17.35161601424715,118.67715397547019,43211
06_kjeller15a_active_power,32.73835819586032,132.12254443486773,43211
u7_kitchen20a_active_power,30.299243483183638,144.03704057860017,43211
05_kjokkenlys15a_active_power,29.48055747788879,160.19452129446586,43211
03_solarinput63a_active_power,38.736744405828006,181.58864427342994,43211
u05_billader16a_active_power,21.78213252506697,186.8121829878529,43211
ams_linje6_p,330.8669924126372,646.6737139241704,43211
